steps,training_time
541,51.939175
456,26.583998
2430,236.26782
552,43.969254
1664,134.6452
132,7.465054
226,12.595329
459,25.912823
834,73.49027
1022,85.9398
1698,155.12688
248,27.697628
1402,79.8452
4089,277.028
3914,381.17297
2709,155.74617
3591,332.91702
4100,373.87115
2704,178.10887
131,13.388197
864,50.37522
3461,247.5858
4181,314.48288
2529,148.28957
2636,235.24258
1702,97.354034
5203,1161.8007
2531,138.24599
2361,135.83232
3029,286.9989
3609,253.40804
4661,326.83176
456,23.973942
763,59.562332
1915,173.2735
265,15.191653
1215,96.08832
1108,84.80464
290,16.623299
3175,325.81476
658,53.097008
361,20.557373
362,19.96928
193,15.309003
1260,113.462036
1779,138.50905
1628,150.12515
202,15.835165
397,21.448975
1393,74.999275
2856,257.5899
2714,184.98546
2042,107.208466
3714,257.68143
3355,212.6956
2489,173.4631
3105,188.0314
2565,225.38774
5032,438.23712
160,15.793192
833,44.125282
5906,580.09796
3982,283.8064
3276,229.718
2580,171.6587
6126,595.7735
219,23.940159
1155,64.78485
3343,174.88484
2008,179.13481
3425,328.66928
2504,148.0113
2259,151.95975
1275,74.653755
2154,126.228485
373,40.299988
1824,102.18049
4077,279.5698
3302,289.72144
3733,218.4203
887,48.16518
376,41.590343
4295,393.12366
5680,404.65497
1232,67.11801
5745,407.9549
4533,433.92657
3118,188.81332
278,26.061815
532,38.88286
1487,140.46046
1641,135.21375
1124,106.05033
1246,104.91258
1591,145.39073
627,51.231026
436,33.599487
1053,58.87394
128,6.5725965
233,18.948645
1652,159.86201
2047,182.04184
678,60.28453
387,30.295057
194,11.226864
1136,62.70388
466,37.532417
1865,96.22895
1495,86.14164
544,58.971237
4423,309.98654
4682,437.31882
3949,373.24487
4579,322.9911
1288,71.441185
205,20.324759
1684,92.32091
493,49.027786
1867,118.68131
2220,211.18819
2402,132.93791
2002,104.82848
1204,64.55671
3390,310.3958
2441,136.92007
3072,214.85092
169,9.284835
625,34.13365
1015,93.873856
455,38.59635
659,51.351856
187,14.108301
1113,110.88862
499,28.513077
140,8.116756
3812,371.432
2283,204.80849
972,80.49338
1304,102.52353
340,27.78154
1765,142.53557
551,43.719425
2417,222.45357
1259,119.889145
2609,275.39154
136,8.651749
2260,197.00412
7590,345.9708
3957,332.8793
393,29.880764
2261,246.7994
2073,178.82256
3117,161.536
346,23.138405
3427,181.51917
2160,170.67944
326,31.234543
703,46.53059
1280,133.52618
405,36.56861
908,96.54933
2308,155.14516
819,82.004524
1157,123.03033
299,19.622177
563,57.672394
5407,7367.5874
2596,206.85902
1492,100.82994
3536,282.15088
728,73.77528
1246,137.8489
1089,117.61137
3991,308.88525
781,52.3965
2013,147.97952
349,28.966944
251,16.172216
3167,259.12
3375,186.95528
2449,135.5958
1918,163.76613
5373,273.82782
189,12.910937
2802,234.53267
2104,229.942
1918,196.31868
1675,138.17801
141,8.977808
1066,78.65593
670,68.75552
933,64.466
2761,221.61908
342,31.019133
3698,301.4033
896,66.14317
866,87.07598
2116,144.73315
1330,140.92014
939,93.07725
353,32.240772
547,35.34286
334,29.124773
5332,432.63126
743,70.69216
541,36.87933
291,27.75813
1321,143.06238
2034,141.97427
876,90.696785
4060,248.51193
2501,205.26973
206,14.073327
3584,266.73288
3393,191.40889
2761,305.15463
2035,158.48993
393,26.123602
3340,193.73055
181,12.280114
1804,154.99574
3007,317.58008
275,23.056948
5093,433.84085
1933,137.59894
493,49.37117
2298,143.07475
1670,173.59106
3876,284.3382
825,86.76249
772,53.860535
4385,351.60983
4306,351.6648
886,79.44256
693,48.280163
284,28.132435
1833,196.31429
779,80.185974
3951,288.60147
1852,205.23805
205,17.073647
939,74.065796
599,51.408382
2751,224.71466
289,19.126022
2153,212.01442
2730,300.742
442,29.155006
1505,119.28227
4388,242.51418
3613,199.45885
2846,228.25822
3115,260.24103
3446,220.58984
500,36.544224
2348,161.50188
590,61.776875
574,50.276863
1846,199.16539
1012,66.74191
159,14.244802
4652,394.469
203,18.412123
647,41.719227
1573,164.02872
575,53.24883
1239,132.01004
1040,120.302666
4600,384.09415
1182,85.251976
2412,161.00296
248,22.388485
1824,118.34143
875,58.98543
5184,412.05243
518,53.201244
6221,562.8523
4526,323.56607
261,26.355097
1218,65.41676
2464,144.08345
250,23.898048
824,43.408783
3511,225.73743
6755,659.1922
2811,150.73225
2117,114.49999
3056,286.67087
4107,289.90836
362,35.409733
1049,57.467888
3255,235.37953
2817,166.83269
2909,264.68997
1913,104.9307
1275,112.99495
252,19.640179
1629,159.21577
609,33.741573
2789,263.48087
504,26.70628
993,87.62505
147,11.483585
289,22.843855
541,33.844124
1155,92.581856
1359,121.44129
2064,203.77646
1692,163.71707
1949,167.2029
945,72.127686
896,72.64511
216,12.275895
1778,96.857445
3969,266.30875
2327,133.37773
2390,222.48862
3744,212.95914
3350,339.39148
2308,157.71468
2678,158.8835
235,24.819143
874,46.667313
3657,247.66064
4044,364.8776
138,14.095663
655,35.788906
349,36.019257
1228,69.02038
4522,407.84662
3312,220.24529
1389,81.39658
1822,177.34932
971,81.30294
277,14.753986
1467,140.31038
698,54.50624
290,23.111849
880,70.40803
1104,104.88833
367,19.681435
1284,103.92217
1741,154.65695
1437,135.41437
131,10.999568
532,29.488604
949,82.04388
457,28.494864
213,16.510056
1060,97.915474
1796,148.70761
2989,292.48608
293,23.659657
879,50.147682
274,21.251226
1734,161.87077
1377,109.287254
200,11.797134
947,87.53566
311,23.849215
142,8.484325
1398,79.68549
801,47.781624
397,22.975595
447,36.961075
1197,110.426865
1865,149.65186
6714,484.7325
1635,89.6126
2445,170.78862
3854,372.1158
2570,141.87897
4512,413.4481
4030,385.26883
2970,168.52252
3508,248.96558
1889,111.93678
3093,210.44759
5966,409.7155
2856,255.35703
880,49.351803
414,41.973183
4345,419.80988
2545,142.10721
1704,97.66594
305,31.123741
4682,462.31558
3101,211.55873
374,27.75084
1008,87.18809
599,32.494873
402,23.681097
1430,109.98521
188,11.006752
701,42.229504
711,68.43033
385,29.721357
1449,114.19241
360,27.521267
2676,253.96791
187,9.926604
3000,273.21283
600,44.450626
1021,86.55286
629,32.49112
3713,358.32437
2885,165.48238
3645,315.22656
3720,239.04784
2366,130.91705
290,28.095413
3207,222.70839
1376,74.023605
410,42.59671
4396,299.09143
3501,304.89896
4211,383.422
2158,122.4784
4677,490.95822
5326,323.16675
2682,196.89009
5764,400.20596
2820,191.51657
3170,288.064
2237,130.62779
1702,95.50855
401,33.095757
1139,115.70181
442,42.8795
666,44.36957
1728,115.21282
390,25.333578
264,24.324272
1095,109.39388
537,48.455463
702,70.79912
2330,159.57788
4255,350.2431
1998,141.71295
628,38.793556
1879,131.46175
3613,282.72507
1207,84.294365
756,75.56893
501,45.78923
2680,222.33086
162,10.701429
2609,218.60881
1244,120.84544
1967,198.56029
1217,92.56713
193,12.438261
2644,226.54578
3473,289.43784
8488,503.30432
1816,187.82884
5922,342.0678
2228,182.93225
1147,82.00435
5514,478.7785
1114,112.40302
2062,134.77261
584,51.09825
1334,96.210075
774,82.80114
3719,292.28314
2085,148.46408
816,55.978294
881,90.54788
474,44.52651
464,31.66886
1063,109.86289
1245,129.15416
646,42.924942
232,20.770452
346,29.27719
1992,133.3533
2691,265.98242
1935,147.30362
5483,309.99454
2127,166.49118
3229,179.05186
3559,307.92606
2344,247.85902
155,10.531958
2811,231.70285
2712,224.16531
2317,182.25568
201,13.039434
1726,174.87773
6850,2121.9377
9190,2871.849
240,64.150826
6558,346.44745
351,104.53062
182,54.87287
11848,20766.611
8754,14375.604
195,55.252903
135,35.95427
3601,191.29799
4965,1440.3654
212,55.856712
6759,1909.921
10579,17560.957
8321,13112.941
8623,2314.4739
194,11.743906
293,16.528666
7634,2085.9626
214,12.1634655
6452,1693.4294
9239,2637.1382
129,7.018958
8675,13953.443
336,530.2314
202,52.386215
10764,3492.8105
231,68.11545
232,67.149796
293,480.89014
9507,15269.09
208,59.85037
170,49.10714
6606,1967.4789
254,69.043236
349,605.2439
5902,339.55014
134,7.721828
316,492.4424
