update_rule,K,N,L,attack,training_time,adversary_score
anti_hebbian,4.0,4.0,4.0,none,5.6561747,80.46875
hebbian,4.0,4.0,4.0,none,8.804967,65.625
hebbian,4.0,4.0,24.0,none,215.58273,76.953125
anti_hebbian,4.0,4.0,24.0,none,204.18817,78.90625
random_walk,4.0,4.0,24.0,none,322.00336,76.43229
random_walk,4.0,4.0,24.0,none,286.55438,81.11979
anti_hebbian,4.0,4.0,4.0,none,6.385437,82.8125
hebbian,4.0,4.0,24.0,none,411.68295,82.16146
hebbian,4.0,4.0,24.0,none,269.86008,78.515625
hebbian,4.0,4.0,4.0,none,6.407907,78.125
anti_hebbian,4.0,4.0,4.0,none,5.023996,85.9375
random_walk,4.0,4.0,4.0,none,9.642495,73.4375
random_walk,4.0,4.0,24.0,none,276.14008,79.296875
anti_hebbian,4.0,4.0,24.0,none,208.75989,85.02604
hebbian,4.0,4.0,24.0,none,218.53377,84.114586
anti_hebbian,4.0,4.0,24.0,none,265.82413,77.734375
random_walk,4.0,4.0,24.0,none,273.71204,76.69271
random_walk,4.0,4.0,4.0,none,6.5848064,69.53125
random_walk,4.0,4.0,4.0,none,10.591233,70.3125
anti_hebbian,4.0,4.0,24.0,none,188.20297,81.90104
hebbian,4.0,4.0,4.0,none,6.348568,95.3125
anti_hebbian,4.0,4.0,4.0,none,9.718531,75.78125
random_walk,4.0,4.0,24.0,none,290.5079,77.604164
anti_hebbian,4.0,4.0,4.0,none,7.181057,85.9375
hebbian,4.0,4.0,24.0,none,178.07448,80.33854
anti_hebbian,4.0,4.0,4.0,none,6.640517,82.03125
hebbian,4.0,4.0,4.0,none,9.072709,73.4375
anti_hebbian,4.0,4.0,24.0,none,242.87067,86.458336
random_walk,4.0,4.0,4.0,none,10.543896,79.6875
random_walk,4.0,4.0,24.0,none,195.33685,80.46875
anti_hebbian,4.0,4.0,24.0,none,231.95511,76.43229
hebbian,4.0,4.0,4.0,none,8.224883,85.15625
anti_hebbian,4.0,4.0,4.0,none,11.249818,67.96875
random_walk,4.0,4.0,4.0,none,6.943028,82.03125
anti_hebbian,4.0,4.0,24.0,none,251.44487,86.06771
hebbian,4.0,4.0,4.0,none,9.700771,67.96875
random_walk,4.0,4.0,24.0,none,247.22346,85.416664
random_walk,4.0,4.0,4.0,none,7.053007,71.875
hebbian,4.0,4.0,24.0,none,443.63867,76.302086
anti_hebbian,4.0,4.0,4.0,none,8.552067,85.15625
hebbian,4.0,4.0,4.0,none,9.066622,75.0
anti_hebbian,4.0,4.0,24.0,none,211.3462,74.08854
random_walk,4.0,4.0,4.0,none,10.325035,78.125
random_walk,4.0,4.0,24.0,none,260.6642,75.78125
anti_hebbian,4.0,4.0,4.0,none,5.240944,82.8125
hebbian,4.0,4.0,4.0,none,12.307827,70.3125
hebbian,4.0,4.0,4.0,none,8.231807,75.0
hebbian,4.0,4.0,24.0,none,229.8593,77.604164
random_walk,4.0,4.0,24.0,none,223.55905,79.427086
anti_hebbian,4.0,4.0,4.0,none,11.8720665,82.8125
